INFO 2026-04-04 19:29:16,435 autoreload Watching for file changes with StatReloader
INFO 2026-04-04 19:32:31,737 basehttp "GET /api/schema/swagger-ui/ HTTP/1.1" 200 4671
INFO 2026-04-04 19:32:31,805 basehttp "GET /api/schema/ HTTP/1.1" 200 68319
WARNING 2026-04-04 19:32:40,098 log Unauthorized: /api/v1/clientes/
WARNING 2026-04-04 19:32:40,098 basehttp "GET /api/v1/clientes/ HTTP/1.1" 401 90
INFO 2026-04-04 19:39:18,489 autoreload /app/atendimento/views.py changed, reloading.
INFO 2026-04-04 19:39:18,858 autoreload Watching for file changes with StatReloader
INFO 2026-04-04 19:40:00,843 basehttp "GET /api/schema/swagger-ui/ HTTP/1.1" 200 4671
INFO 2026-04-04 19:40:00,901 basehttp "GET /api/schema/ HTTP/1.1" 200 69065
INFO 2026-04-04 20:20:36,480 basehttp "GET /api/schema/swagger-ui/ HTTP/1.1" 200 4671
INFO 2026-04-04 20:20:36,534 basehttp "GET /api/schema/ HTTP/1.1" 200 69065
